Order ID,Product,Quantity,Price,Order Date,Purchase Address
193326,Samsung Phone,1,500,22/04/19 17:49,"No.23 11th Street, District 02, HCMC"
193327,Sony Headphones,1,100,16/04/19 22:08,"No.49 25th Street, District 06, HCMC"
193328,Power Bank,1,60,12/04/19 03:54,"No.69 14th Street, District 04, HCMC"
193329,Normal Headphones,1,12,17/04/19 10:21,"No.37 18th Street, District 04, HCMC"
193330,Normal Headphones,1,12,18/04/19 17:18,"No.68 11th Street, District 02, HCMC"
193331,Sony Headphones,1,100,04/04/19 22:57,"No.50 5th Street, District 05, HCMC"
193332,Lightning Charging Cable,1,15,20/04/19 09:11,"No.89 10th Street, District 11, HCMC"
193333,Lightning Charging Cable,2,15,04/04/19 20:13,"No.56 14th Street, District 11, HCMC"
193334,Normal Headphones,1,12,28/04/19 13:06,"No.49  2nd Street, District 01, HCMC"
193335,Power Bank,1,60,13/04/19 14:27,"No.53 17th Street, District 10, HCMC"
193336,Power Bank,1,60,23/04/19 18:59,"No.35 23rd Street, District 07, HCMC"
193337,USB-C Charging Cable,1,12,02/04/19 20:35,"No.39 19th Street, District 07, HCMC"
193338,Power Bank,1,60,16/04/19 12:33,"No.42 17th Street, District 05, HCMC"
193339,34in 2k Monitor,1,380,23/04/19 22:15,"No.74 25th Street, District 10, HCMC"
193340,34in 2k Monitor,1,380,14/04/19 17:37,"No.94 24th Street, District 05, HCMC"
193341,27in Monitor,2,150,21/04/19 13:01,"No.85 18th Street, District 05, HCMC"
193342,Sony Headphones,1,100,03/04/19 18:39,"No.54 23rd Street, District 01, HCMC"
193343,USB-C Charging Cable,1,12,24/04/19 22:05,"No.23 24th Street, District 01, HCMC"
193344,iPhone,1,700,03/04/19 21:40,"No.45 8th Street, District 05, HCMC"
193345,Power Bank,1,60,02/04/19 14:15,"No.97 14th Street, District 04, HCMC"
193346,34in 2k Monitor,1,380,05/04/19 20:03,"No.47 14th Street, District 11, HCMC"
193347,21in Monitor,1,110,21/04/19 22:59,"No.58 18th Street, District 02, HCMC"
193348,Lightning Charging Cable,1,15,25/04/19 16:10,"No.15 12th Street, District 03, HCMC"
193349,Sony Headphones,1,100,19/04/19 12:56,"No.82 13th Street, District 05, HCMC"
193350,Normal Headphones,1,12,30/04/19 06:58,"No.33 13th Street, District 10, HCMC"
193351,Sony Headphones,1,100,09/04/19 22:55,"No.63 8th Street, District 01, HCMC"
193352,Macbook Pro Laptop,1,1700,18/04/19 19:32,"No.4 9th Street, District 07, HCMC"
193353,Macbook Pro Laptop,1,1700,23/04/19 11:18,"No.94 25th Street, District 02, HCMC"
193354,Normal Headphones,1,12,01/04/19 11:02,"No.39 1st Street, District 01, HCMC"
193355,27in 4K Gaming Monitor,1,400,22/04/19 18:52,"No.10 6th Street, District 01, HCMC"
193356,Normal Headphones,1,12,10/04/19 20:45,"No.75 25th Street, District 03, HCMC"
193357,USB-C Charging Cable,1,12,03/04/19 09:22,"No.77 8th Street, District 05, HCMC"
193358,USB-C Charging Cable,1,12,15/04/19 14:00,"No.80  2nd Street, District 10, HCMC"
193359,Normal Headphones,1,12,28/04/19 11:28,"No.3 22nd Street, District 04, HCMC"
193360,USB-C Charging Cable,1,12,19/04/19 00:37,"No.91 8th Street, District 02, HCMC"
193361,Lightning Charging Cable,1,15,06/04/19 18:59,"No.21 17th Street, District 03, HCMC"
193362,Normal Headphones,1,12,04/04/19 14:12,"No.2 13th Street, District 01, HCMC"
193363,Samsung Phone,1,500,25/04/19 20:27,"No.79 11th Street, District 03, HCMC"
193364,Sony Headphones,1,100,04/04/19 12:47,"No.92 23rd Street, District 07, HCMC"
193365,Lightning Charging Cable,1,15,27/04/19 22:26,"No.57 19th Street, District 05, HCMC"
193366,Normal Headphones,1,12,23/04/19 14:41,"No.100 15th Street, District 02, HCMC"
193367,Lightning Charging Cable,1,15,05/04/19 07:53,"No.18 14th Street, District 07, HCMC"
193368,Google Phone,1,600,18/04/19 13:48,"No.30 17th Street, District 07, HCMC"
193369,USB-C Charging Cable,1,12,16/04/19 22:05,"No.92 19th Street, District 05, HCMC"
193370,21in Monitor,1,110,04/04/19 23:30,"No.57 3rd Street, District 10, HCMC"
193371,Lightning Charging Cable,3,15,06/04/19 13:48,"No.23 4th Street, District 06, HCMC"
193371,ThinkPad Laptop,1,1000,06/04/19 13:48,"No.23 4th Street, District 06, HCMC"
193372,Macbook Pro Laptop,1,1700,26/04/19 19:34,"No.45 19th Street, District 02, HCMC"
193373,21in Monitor,1,110,17/04/19 10:51,"No.2 22nd Street, District 04, HCMC"
193374,27in 4K Gaming Monitor,1,400,19/04/19 21:43,"No.28 10th Street, District 03, HCMC"
193375,Macbook Pro Laptop,1,1700,17/04/19 13:48,"No.31 12th Street, District 11, HCMC"
193376,Sony Headphones,1,100,04/04/19 18:25,"No.53 24th Street, District 06, HCMC"
193377,Google Phone,1,600,17/04/19 15:50,"No.76 8th Street, District 06, HCMC"
193378,Macbook Pro Laptop,1,1700,15/04/19 09:26,"No.81 9th Street, District 05, HCMC"
193379,27in Monitor,1,150,21/04/19 15:44,"No.36 13th Street, District 01, HCMC"
193380,Power Bank,1,60,24/04/19 20:12,"No.89 12th Street, District 02, HCMC"
193381,iPhone,1,700,23/04/19 18:52,"No.32 14th Street, District 07, HCMC"
193381,Lightning Charging Cable,1,15,23/04/19 18:52,"No.32 14th Street, District 07, HCMC"
193382,Airpods Headphones,1,150,05/04/19 08:42,"No.98  2nd Street, District 07, HCMC"
