Order ID,Product,Quantity,Price,Order Date,Purchase Address
240847,iPhone,1,700,02/08/19 17:00,"No.51 23rd Street, District 01, HCMC"
240848,Sony Headphones,1,100,18/08/19 17:54,"No.92 11th Street, District 10, HCMC"
240849,Google Phone,1,600,01/08/19 07:02,"No.29 11th Street, District 02, HCMC"
240850,Dell Laptop,1,800,05/08/19 15:47,"No.63 6th Street, District 10, HCMC"
240851,27in Monitor,1,150,20/08/19 14:02,"No.95 6th Street, District 01, HCMC"
240852,Normal Headphones,1,12,07/08/19 11:58,"No.51 15th Street, District 01, HCMC"
240853,Power Bank,1,60,17/08/19 05:34,"No.81 10th Street, District 01, HCMC"
240854,Normal Headphones,1,12,30/08/19 23:00,"No.80 5th Street, District 06, HCMC"
240855,Power Bank,1,60,24/08/19 15:31,"No.58 1st Street, District 02, HCMC"
240856,Normal Headphones,1,12,23/08/19 12:30,"No.95 17th Street, District 06, HCMC"
240857,USB-C Charging Cable,1,12,06/08/19 14:17,"No.3 15th Street, District 05, HCMC"
240858,Google Phone,1,600,22/08/19 22:26,"No.28 22nd Street, District 01, HCMC"
240859,Airpods Headphones,1,150,27/08/19 23:21,"No.36 11th Street, District 06, HCMC"
240860,Lightning Charging Cable,1,15,14/08/19 09:00,"No.73 22nd Street, District 01, HCMC"
240861,Normal Headphones,1,12,11/08/19 10:34,"No.81 17th Street, District 06, HCMC"
240862,Lightning Charging Cable,1,15,06/08/19 09:38,"No.40 24th Street, District 03, HCMC"
240863,27in Monitor,1,150,07/08/19 08:36,"No.100 9th Street, District 04, HCMC"
240864,Power Bank,1,60,12/08/19 14:41,"No.52 11th Street, District 07, HCMC"
240865,Lightning Charging Cable,1,15,07/08/19 20:36,"No.46 21st Street, District 04, HCMC"
240866,Macbook Pro Laptop,1,1700,13/08/19 17:31,"No.20 16th Street, District 07, HCMC"
240867,USB-C Charging Cable,1,12,13/08/19 09:56,"No.5 12th Street, District 01, HCMC"
240868,Power Bank,1,60,03/08/19 16:38,"No.92 17th Street, District 01, HCMC"
240869,Lightning Charging Cable,1,15,16/08/19 13:20,"No.72 21st Street, District 07, HCMC"
240870,27in 4K Gaming Monitor,1,400,22/08/19 11:09,"No.1 1st Street, District 01, HCMC"
240871,Sony Headphones,1,100,12/08/19 15:10,"No.24 6th Street, District 01, HCMC"
240872,Lightning Charging Cable,1,15,12/08/19 11:20,"No.58 15th Street, District 01, HCMC"
240873,Normal Headphones,1,12,11/08/19 09:40,"No.82 4th Street, District 11, HCMC"
240874,USB-C Charging Cable,1,12,02/08/19 19:14,"No.74 25th Street, District 07, HCMC"
240875,Normal Headphones,1,12,26/08/19 15:19,"No.9 22nd Street, District 05, HCMC"
240876,Power Bank,1,60,01/08/19 12:41,"No.74 11th Street, District 01, HCMC"
240877,Lightning Charging Cable,1,15,04/08/19 11:04,"No.9  2nd Street, District 10, HCMC"
240878,ThinkPad Laptop,1,1000,27/08/19 07:47,"No.10 6th Street, District 07, HCMC"
240879,Sony Headphones,1,100,01/08/19 18:19,"No.96 16th Street, District 07, HCMC"
240880,Sony Headphones,1,100,09/08/19 07:23,"No.33 24th Street, District 01, HCMC"
240881,Lightning Charging Cable,1,15,01/08/19 17:26,"No.64 15th Street, District 01, HCMC"
240882,27in Monitor,1,150,11/08/19 20:49,"No.81 25th Street, District 01, HCMC"
240883,Power Bank,1,60,20/08/19 15:09,"No.59 3rd Street, District 07, HCMC"
240884,27in 4K Gaming Monitor,1,400,30/08/19 23:20,"No.73 1st Street, District 06, HCMC"
240885,Lightning Charging Cable,1,15,18/08/19 20:03,"No.77 7th Street, District 07, HCMC"
240886,Power Bank,1,60,23/08/19 22:06,"No.54 23rd Street, District 01, HCMC"
240887,Lightning Charging Cable,1,15,23/08/19 16:31,"No.98 6th Street, District 01, HCMC"
240888,Power Bank,1,60,06/08/19 17:58,"No.95 1st Street, District 03, HCMC"
240889,Airpods Headphones,1,150,14/08/19 10:57,"No.24 4th Street, District 07, HCMC"
240890,Airpods Headphones,1,150,29/08/19 12:33,"No.88  2nd Street, District 03, HCMC"
240891,Power Bank,1,60,04/08/19 11:12,"No.66 10th Street, District 03, HCMC"
240892,Power Bank,1,60,12/08/19 17:12,"No.16 24th Street, District 07, HCMC"
240893,USB-C Charging Cable,1,12,16/08/19 11:20,"No.35 12th Street, District 10, HCMC"
240894,Macbook Pro Laptop,1,1700,24/08/19 16:30,"No.41 6th Street, District 01, HCMC"
240895,Normal Headphones,1,12,07/08/19 23:00,"No.11 13th Street, District 03, HCMC"
,,,,,
240896,Normal Headphones,1,12,24/08/19 12:05,"No.37 23rd Street, District 02, HCMC"
240897,USB-C Charging Cable,1,12,23/08/19 13:14,"No.89 13th Street, District 05, HCMC"
240898,34in 2k Monitor,1,380,14/08/19 03:32,"No.67 10th Street, District 08, HCMC"
240899,Dell Laptop,1,800,30/08/19 11:16,"No.56 17th Street, District 05, HCMC"
240900,Lightning Charging Cable,1,15,26/08/19 22:46,"No.7 3rd Street, District 02, HCMC"
240901,Power Bank,1,60,09/08/19 08:07,"No.92 18th Street, District 01, HCMC"
240902,Sony Headphones,1,100,04/08/19 12:50,"No.40 8th Street, District 10, HCMC"
240903,34in 2k Monitor,1,380,26/08/19 08:26,"No.26 20th Street, District 02, HCMC"
240904,Power Bank,1,60,23/08/19 13:06,"No.36 24th Street, District 03, HCMC"
240905,Lightning Charging Cable,1,15,19/08/19 12:57,"No.50 1st Street, District 07, HCMC"
240906,USB-C Charging Cable,1,12,01/08/19 18:14,"No.46 1st Street, District 03, HCMC"
240907,Airpods Headphones,1,150,31/08/19 08:42,"No.16 10th Street, District 10, HCMC"
240908,USB-C Charging Cable,1,12,18/08/19 16:00,"No.88 25th Street, District 04, HCMC"
240909,USB-C Charging Cable,1,12,24/08/19 23:21,"No.33 12th Street, District 03, HCMC"
240910,Normal Headphones,1,12,09/08/19 12:03,"No.71 15th Street, District 10, HCMC"
240911,Normal Headphones,1,12,17/08/19 09:16,"No.86 11th Street, District 01, HCMC"
240912,Dell Laptop,1,800,12/08/19 14:25,"No.36 11th Street, District 07, HCMC"
240913,Lightning Charging Cable,1,15,10/08/19 09:29,"No.24 18th Street, District 05, HCMC"
240914,27in Monitor,1,150,11/08/19 21:34,"No.48 7th Street, District 01, HCMC"
240915,Power Bank,1,60,31/08/19 09:54,"No.28 17th Street, District 01, HCMC"
240916,Power Bank,1,60,19/08/19 00:35,"No.91 24th Street, District 01, HCMC"
240917,Power Bank,1,60,02/08/19 15:52,"No.44 17th Street, District 05, HCMC"
240918,USB-C Charging Cable,1,12,30/08/19 19:17,"No.61 1st Street, District 10, HCMC"
240919,Power Bank,1,60,03/08/19 15:28,"No.80 14th Street, District 11, HCMC"
240920,21in Monitor,1,110,31/08/19 07:01,"No.57  2nd Street, District 07, HCMC"
240921,Lightning Charging Cable,1,15,21/08/19 12:23,"No.60 22nd Street, District 04, HCMC"
240922,Samsung Phone,1,500,30/08/19 10:50,"No.82 20th Street, District 02, HCMC"
240923,USB-C Charging Cable,1,12,24/08/19 13:24,"No.57 1st Street, District 01, HCMC"
240924,Airpods Headphones,1,150,25/08/19 08:11,"No.35 5th Street, District 01, HCMC"
240925,Airpods Headphones,1,150,18/08/19 14:10,"No.5 5th Street, District 02, HCMC"
240926,Normal Headphones,1,12,14/08/19 19:12,"No.81 10th Street, District 01, HCMC"
240927,Power Bank,2,60,16/08/19 22:59,"No.88 14th Street, District 10, HCMC"
240928,Normal Headphones,1,12,31/08/19 14:52,"No.59 16th Street, District 02, HCMC"
240929,Normal Headphones,1,12,09/08/19 19:01,"No.60 6th Street, District 04, HCMC"
240930,Lightning Charging Cable,1,15,22/08/19 15:20,"No.17  2nd Street, District 02, HCMC"
240931,21in Monitor,1,110,24/08/19 14:39,"No.74 1st Street, District 07, HCMC"
240932,Airpods Headphones,1,150,26/08/19 14:29,"No.58 23rd Street, District 05, HCMC"
240933,Lightning Charging Cable,1,15,27/08/19 19:17,"No.51 11th Street, District 03, HCMC"
240934,Lightning Charging Cable,1,15,01/08/19 14:08,"No.31 18th Street, District 01, HCMC"
