Order ID,Product,Quantity,Price,Order Date,Purchase Address
310262,34in 2k Monitor,1,380,29/12/19 17:33,"No.32 12th Street, District 07, HCMC"
310263,Airpods Headphones,1,150,29/12/19 22:43,"No.91 12th Street, District 06, HCMC"
310264,iPhone,1,700,27/12/19 00:56,"No.27 17th Street, District 07, HCMC"
310265,USB-C Charging Cable,1,12,03/12/19 12:31,"No.15 18th Street, District 01, HCMC"
310266,iPhone,1,700,02/12/19 14:08,"No.39 9th Street, District 02, HCMC"
310266,Lightning Charging Cable,1,15,02/12/19 14:08,"No.39 9th Street, District 02, HCMC"
310267,Lightning Charging Cable,1,15,24/12/19 09:30,"No.94 15th Street, District 07, HCMC"
310268,Power Bank,1,60,18/12/19 20:11,"No.36 18th Street, District 11, HCMC"
310269,USB-C Charging Cable,1,12,23/12/19 11:04,"No.51 4th Street, District 02, HCMC"
310270,Power Bank,1,60,15/12/19 18:48,"No.11  2nd Street, District 01, HCMC"
310271,Normal Headphones,1,12,27/12/19 00:59,"No.71 7th Street, District 01, HCMC"
310272,Power Bank,1,60,02/12/19 07:20,"No.87 11th Street, District 02, HCMC"
310273,34in 2k Monitor,1,380,17/12/19 23:23,"No.46 8th Street, District 05, HCMC"
310274,Normal Headphones,1,12,01/12/19 13:03,"No.65 12th Street, District 01, HCMC"
310275,Airpods Headphones,1,150,28/12/19 21:24,"No.47 10th Street, District 06, HCMC"
310276,34in 2k Monitor,1,380,02/12/19 23:31,"No.77 15th Street, District 01, HCMC"
310277,Sony Headphones,1,100,16/12/19 10:16,"No.36 16th Street, District 05, HCMC"
310278,34in 2k Monitor,1,380,02/12/19 14:28,"No.50 8th Street, District 04, HCMC"
310279,Normal Headphones,1,12,06/12/19 15:42,"No.27 18th Street, District 01, HCMC"
310280,iPhone,1,700,15/12/19 21:14,"No.29 16th Street, District 05, HCMC"
310281,27in 4K Gaming Monitor,1,400,02/12/19 14:50,"No.41 20th Street, District 05, HCMC"
310282,Samsung Phone,1,500,01/01/20 02:32,"No.61 15th Street, District 03, HCMC"
310282,Power Bank,1,60,01/01/20 02:32,"No.61 15th Street, District 03, HCMC"
310283,27in 4K Gaming Monitor,1,400,05/12/19 14:55,"No.26 12th Street, District 06, HCMC"
310284,27in Monitor,1,150,26/12/19 21:40,"No.60 24th Street, District 07, HCMC"
310285,Sony Headphones,1,100,04/12/19 15:04,"No.91 24th Street, District 06, HCMC"
310286,ThinkPad Laptop,1,1000,07/12/19 14:46,"No.82 7th Street, District 07, HCMC"
310287,21in Monitor,1,110,13/12/19 22:23,"No.10 5th Street, District 05, HCMC"
310288,USB-C Charging Cable,1,12,15/12/19 22:40,"No.60 17th Street, District 07, HCMC"
310289,USB-C Charging Cable,1,12,17/12/19 06:23,"No.45 19th Street, District 01, HCMC"
310289,Normal Headphones,1,12,17/12/19 06:23,"No.45 19th Street, District 01, HCMC"
310290,Lightning Charging Cable,2,15,09/12/19 22:32,"No.59 21st Street, District 01, HCMC"
310291,USB-C Charging Cable,1,12,03/12/19 11:13,"No.39 22nd Street, District 01, HCMC"
310292,Normal Headphones,1,12,30/12/19 11:32,"No.8 7th Street, District 07, HCMC"
310293,Dell Laptop,1,800,09/12/19 08:30,"No.83 1st Street, District 10, HCMC"
310294,Samsung Phone,1,500,02/12/19 14:56,"No.2 15th Street, District 03, HCMC"
310294,USB-C Charging Cable,1,12,02/12/19 14:56,"No.2 15th Street, District 03, HCMC"
310295,USB-C Charging Cable,2,12,07/12/19 07:37,"No.26 25th Street, District 01, HCMC"
310296,Sony Headphones,1,100,07/12/19 11:48,"No.29 16th Street, District 10, HCMC"
310297,Normal Headphones,1,12,01/12/19 15:41,"No.7 24th Street, District 04, HCMC"
310298,Power Bank,1,60,30/12/19 01:52,"No.56 10th Street, District 02, HCMC"
310299,34in 2k Monitor,1,380,24/12/19 12:45,"No.77 25th Street, District 05, HCMC"
310300,USB-C Charging Cable,1,12,02/12/19 06:51,"No.65 25th Street, District 02, HCMC"
310301,Samsung Phone,1,500,01/12/19 17:47,"No.57  2nd Street, District 07, HCMC"
310302,USB-C Charging Cable,1,12,13/12/19 00:41,"No.86 18th Street, District 01, HCMC"
310303,Samsung Phone,1,500,02/12/19 07:28,"No.89 14th Street, District 01, HCMC"
310303,Power Bank,1,60,02/12/19 07:28,"No.89 14th Street, District 01, HCMC"
310304,21in Monitor,1,110,21/12/19 19:11,"No.6 8th Street, District 07, HCMC"
310305,ThinkPad Laptop,1,1000,06/12/19 17:17,"No.92  2nd Street, District 06, HCMC"
310306,Lightning Charging Cable,1,15,02/12/19 21:02,"No.61 22nd Street, District 01, HCMC"
310307,Lightning Charging Cable,1,15,13/12/19 09:22,"No.69 23rd Street, District 07, HCMC"
310308,USB-C Charging Cable,1,12,16/12/19 17:16,"No.89 11th Street, District 03, HCMC"
310309,Power Bank,1,60,18/12/19 19:30,"No.37 25th Street, District 07, HCMC"
310310,Power Bank,1,60,06/12/19 09:38,"No.82 25th Street, District 07, HCMC"
310311,Normal Headphones,1,12,04/12/19 09:20,"No.84 5th Street, District 07, HCMC"
310312,USB-C Charging Cable,1,12,02/12/19 20:56,"No.11 20th Street, District 10, HCMC"
310313,Macbook Pro Laptop,1,1700,28/12/19 21:16,"No.96  2nd Street, District 01, HCMC"
310314,USB-C Charging Cable,1,12,16/12/19 08:39,"No.12 16th Street, District 04, HCMC"
310315,Lightning Charging Cable,1,15,04/12/19 08:46,"No.97 3rd Street, District 01, HCMC"
310316,27in Monitor,1,150,16/12/19 18:18,"No.65 8th Street, District 06, HCMC"
310317,Samsung Phone,1,500,19/12/19 21:24,"No.39 20th Street, District 02, HCMC"
310318,Normal Headphones,1,12,15/12/19 16:51,"No.93  2nd Street, District 01, HCMC"
310319,21in Monitor,1,110,13/12/19 11:25,"No.17 25th Street, District 01, HCMC"
310320,34in 2k Monitor,1,380,21/12/19 13:12,"No.31 22nd Street, District 06, HCMC"
310321,USB-C Charging Cable,1,12,08/12/19 11:50,"No.9 11th Street, District 07, HCMC"
310322,Sony Headphones,1,100,07/12/19 05:35,"No.89 6th Street, District 01, HCMC"
310323,Lightning Charging Cable,1,15,19/12/19 15:37,"No.59 15th Street, District 03, HCMC"
310324,27in 4K Gaming Monitor,1,400,16/12/19 17:59,"No.15 14th Street, District 01, HCMC"
310325,Power Bank,1,60,13/12/19 10:34,"No.76 22nd Street, District 02, HCMC"
310326,Airpods Headphones,1,150,20/12/19 12:34,"No.55 14th Street, District 01, HCMC"
310327,Airpods Headphones,1,150,21/12/19 21:10,"No.58 6th Street, District 02, HCMC"
310328,Power Bank,1,60,23/12/19 16:50,"No.30 11th Street, District 03, HCMC"
310329,Dell Laptop,1,800,03/12/19 13:24,"No.24 22nd Street, District 03, HCMC"
310330,ThinkPad Laptop,1,1000,12/12/19 20:00,"No.38 3rd Street, District 02, HCMC"
310331,iPhone,1,700,17/12/19 21:26,"No.57 17th Street, District 07, HCMC"
310332,Normal Headphones,1,12,21/12/19 00:39,"No.77 22nd Street, District 01, HCMC"
310333,Sony Headphones,1,100,15/12/19 12:57,"No.23 20th Street, District 04, HCMC"
310334,27in Monitor,1,150,04/12/19 21:06,"No.24 15th Street, District 07, HCMC"
310335,Normal Headphones,1,12,26/12/19 20:55,"No.48 5th Street, District 07, HCMC"
310336,Sony Headphones,1,100,19/12/19 22:01,"No.69 18th Street, District 01, HCMC"
310337,Samsung Phone,1,500,23/12/19 21:44,"No.24 3rd Street, District 01, HCMC"
310338,21in Monitor,1,110,05/12/19 16:50,"No.86 24th Street, District 01, HCMC"
310339,Normal Headphones,1,12,16/12/19 14:12,"No.52 4th Street, District 07, HCMC"
310340,Normal Headphones,1,12,27/12/19 16:44,"No.83 24th Street, District 07, HCMC"
310341,iPhone,1,700,10/12/19 14:12,"No.2 3rd Street, District 05, HCMC"
310342,34in 2k Monitor,1,380,14/12/19 06:53,"No.25 1st Street, District 04, HCMC"
310343,Airpods Headphones,1,150,22/12/19 13:29,"No.53 9th Street, District 01, HCMC"
310344,Normal Headphones,1,12,23/12/19 19:51,"No.91 22nd Street, District 06, HCMC"
310345,USB-C Charging Cable,1,12,14/12/19 16:29,"No.80 1st Street, District 07, HCMC"
310346,Macbook Pro Laptop,1,1700,31/12/19 20:59,"No.86 23rd Street, District 07, HCMC"
310347,27in 4K Gaming Monitor,1,400,09/12/19 16:34,"No.56 21st Street, District 03, HCMC"
310348,USB-C Charging Cable,1,12,01/12/19 23:12,"No.85 19th Street, District 01, HCMC"
310349,USB-C Charging Cable,2,12,06/12/19 18:48,"No.64 1st Street, District 01, HCMC"
310350,Sony Headphones,1,100,18/12/19 20:33,"No.40 24th Street, District 03, HCMC"
310351,Sony Headphones,1,100,16/12/19 09:29,"No.65 25th Street, District 07, HCMC"
310352,Power Bank,1,60,02/12/19 07:57,"No.5 9th Street, District 04, HCMC"
310353,Power Bank,1,60,15/12/19 09:32,"No.30 21st Street, District 10, HCMC"
310354,Sony Headphones,1,100,29/12/19 23:07,"No.37 13th Street, District 10, HCMC"
310355,Normal Headphones,1,12,18/12/19 10:46,"No.46 22nd Street, District 01, HCMC"
310355,Power Bank,1,60,18/12/19 10:46,"No.46 22nd Street, District 01, HCMC"
310356,Sony Headphones,1,100,26/12/19 21:36,"No.72 21st Street, District 07, HCMC"
310357,Lightning Charging Cable,1,15,07/12/19 19:54,"No.26 25th Street, District 06, HCMC"
310358,Lightning Charging Cable,1,15,30/12/19 00:41,"No.4 22nd Street, District 02, HCMC"
310359,27in 4K Gaming Monitor,1,400,12/12/19 10:40,"No.69 21st Street, District 07, HCMC"
310360,Power Bank,1,60,12/12/19 07:43,"No.5 14th Street, District 06, HCMC"
310361,Lightning Charging Cable,1,15,09/12/19 20:46,"No.4 17th Street, District 03, HCMC"
310362,Normal Headphones,1,12,21/12/19 00:17,"No.54 3rd Street, District 03, HCMC"
310363,ThinkPad Laptop,1,1000,02/12/19 22:28,"No.59 16th Street, District 01, HCMC"
310364,iPhone,1,700,15/12/19 10:33,"No.57 6th Street, District 01, HCMC"
310365,34in 2k Monitor,1,380,03/12/19 11:18,"No.55 23rd Street, District 07, HCMC"
310366,21in Monitor,1,110,27/12/19 20:08,"No.98 22nd Street, District 08, HCMC"
310367,34in 2k Monitor,1,380,01/12/19 12:52,"No.54 21st Street, District 04, HCMC"
310368,ThinkPad Laptop,1,1000,27/12/19 19:15,"No.12 3rd Street, District 11, HCMC"
310369,USB-C Charging Cable,1,12,06/12/19 19:57,"No.26 15th Street, District 03, HCMC"
310370,27in Monitor,1,150,13/12/19 14:53,"No.48 9th Street, District 01, HCMC"
310371,Power Bank,1,60,25/12/19 19:11,"No.1 9th Street, District 04, HCMC"
310372,Lightning Charging Cable,1,15,02/12/19 13:27,"No.34 24th Street, District 01, HCMC"
310373,Lightning Charging Cable,1,15,14/12/19 11:22,"No.61 10th Street, District 07, HCMC"
310374,USB-C Charging Cable,1,12,06/12/19 20:58,"No.33 20th Street, District 07, HCMC"
310375,Normal Headphones,1,12,14/12/19 21:52,"No.86 25th Street, District 01, HCMC"
310376,27in Monitor,1,150,02/12/19 16:43,"No.8 16th Street, District 07, HCMC"
310377,USB-C Charging Cable,1,12,25/12/19 16:31,"No.46 1st Street, District 05, HCMC"
310378,Airpods Headphones,1,150,07/12/19 10:15,"No.80 10th Street, District 05, HCMC"
310379,21in Monitor,1,110,29/12/19 22:34,"No.63 7th Street, District 04, HCMC"
310380,Macbook Pro Laptop,1,1700,15/12/19 00:25,"No.76 5th Street, District 07, HCMC"
310381,iPhone,1,700,13/12/19 23:16,"No.68 8th Street, District 02, HCMC"
310382,34in 2k Monitor,1,380,14/12/19 15:48,"No.79 9th Street, District 04, HCMC"
310383,21in Monitor,1,110,10/12/19 08:29,"No.30 7th Street, District 01, HCMC"
310384,USB-C Charging Cable,1,12,03/12/19 06:56,"No.52 22nd Street, District 02, HCMC"
310385,Dell Laptop,1,800,30/12/19 21:48,"No.70 15th Street, District 01, HCMC"
310386,USB-C Charging Cable,1,12,14/12/19 08:24,"No.41 16th Street, District 03, HCMC"
310387,Airpods Headphones,1,150,01/12/19 19:24,"No.90 14th Street, District 04, HCMC"
310388,27in Monitor,1,150,11/12/19 12:04,"No.55 19th Street, District 07, HCMC"
310389,USB-C Charging Cable,1,12,27/12/19 11:31,"No.91 3rd Street, District 03, HCMC"
310390,Sony Headphones,1,100,28/12/19 00:30,"No.58 10th Street, District 03, HCMC"
310391,USB-C Charging Cable,1,12,28/12/19 20:43,"No.25 15th Street, District 10, HCMC"
310392,21in Monitor,1,110,27/12/19 21:22,"No.70 18th Street, District 05, HCMC"
310393,USB-C Charging Cable,1,12,29/12/19 11:15,"No.33 13th Street, District 05, HCMC"
310394,Lightning Charging Cable,1,15,04/12/19 12:18,"No.73 12th Street, District 04, HCMC"
310395,Lightning Charging Cable,1,15,28/12/19 23:38,"No.51 16th Street, District 01, HCMC"
310396,Normal Headphones,1,12,16/12/19 20:15,"No.95 10th Street, District 03, HCMC"
310397,Airpods Headphones,1,150,08/12/19 21:22,"No.51 3rd Street, District 01, HCMC"
310398,ThinkPad Laptop,1,1000,05/12/19 18:40,"No.19 16th Street, District 04, HCMC"
310399,Normal Headphones,1,12,17/12/19 12:00,"No.14 7th Street, District 03, HCMC"
310400,USB-C Charging Cable,1,12,14/12/19 15:47,"No.64 23rd Street, District 07, HCMC"
310401,USB-C Charging Cable,2,12,20/12/19 14:21,"No.59 23rd Street, District 01, HCMC"
310402,Sony Headphones,2,100,02/12/19 14:58,"No.57 22nd Street, District 10, HCMC"
310403,USB-C Charging Cable,1,12,29/12/19 23:28,"No.95 20th Street, District 05, HCMC"
310404,27in Monitor,1,150,17/12/19 12:51,"No.37 24th Street, District 02, HCMC"
310405,Sony Headphones,1,100,05/12/19 11:26,"No.64 13th Street, District 03, HCMC"
310406,27in Monitor,1,150,06/12/19 21:02,"No.40 7th Street, District 01, HCMC"
310407,Sony Headphones,1,100,24/12/19 11:06,"No.5 12th Street, District 02, HCMC"
310408,34in 2k Monitor,1,380,22/12/19 15:55,"No.22 8th Street, District 01, HCMC"
310409,Dell Laptop,1,800,23/12/19 10:22,"No.78 10th Street, District 01, HCMC"
310409,Google Phone,1,600,23/12/19 10:22,"No.78 10th Street, District 01, HCMC"
310410,Power Bank,1,60,13/12/19 22:39,"No.91 12th Street, District 07, HCMC"
310411,Power Bank,1,60,26/12/19 20:32,"No.11 18th Street, District 01, HCMC"
310412,34in 2k Monitor,1,380,12/12/19 21:26,"No.97 7th Street, District 07, HCMC"
310413,Macbook Pro Laptop,1,1700,20/12/19 14:57,"No.31 8th Street, District 01, HCMC"
