Order ID,Product,Quantity,Price,Order Date,Purchase Address
154869,27in Monitor,1,150,19/02/19 22:04,"No.22 10th Street, District 10, HCMC"
154870,Sony Headphones,1,100,05/02/19 18:44,"No.85 20th Street, District 03, HCMC"
154871,Samsung Phone,1,500,14/02/19 17:14,"No.22 16th Street, District 04, HCMC"
154872,Lightning Charging Cable,1,15,24/02/19 15:50,"No.68 1st Street, District 07, HCMC"
154873,Lightning Charging Cable,1,15,01/02/19 08:32,"No.25 10th Street, District 03, HCMC"
154874,21in Monitor,1,110,16/02/19 11:20,"No.88 1st Street, District 01, HCMC"
154875,Normal Headphones,1,12,23/02/19 14:03,"No.87 20th Street, District 10, HCMC"
154876,Normal Headphones,1,12,19/02/19 19:08,"No.48  2nd Street, District 01, HCMC"
154877,USB-C Charging Cable,1,12,10/02/19 17:46,"No.17 1st Street, District 05, HCMC"
154878,Lightning Charging Cable,1,15,02/02/19 10:16,"No.20 9th Street, District 04, HCMC"
154879,Power Bank,1,60,24/02/19 08:26,"No.64 9th Street, District 07, HCMC"
154880,Sony Headphones,1,100,07/02/19 17:09,"No.92 5th Street, District 10, HCMC"
154881,27in Monitor,1,150,03/02/19 00:49,"No.69 8th Street, District 02, HCMC"
154882,Airpods Headphones,1,150,03/02/19 14:27,"No.62 16th Street, District 04, HCMC"
154883,USB-C Charging Cable,1,12,23/02/19 17:10,"No.36 21st Street, District 10, HCMC"
154884,Normal Headphones,1,12,18/02/19 21:02,"No.26 14th Street, District 01, HCMC"
154885,Airpods Headphones,1,150,16/02/19 19:58,"No.24 5th Street, District 01, HCMC"
154886,Normal Headphones,1,12,22/02/19 10:23,"No.33 20th Street, District 06, HCMC"
154886,iPhone,1,700,22/02/19 10:23,"No.33 20th Street, District 06, HCMC"
154887,Airpods Headphones,1,150,11/02/19 18:18,"No.66 24th Street, District 03, HCMC"
154888,Power Bank,1,60,04/02/19 12:59,"No.92 19th Street, District 04, HCMC"
154889,Macbook Pro Laptop,1,1700,07/02/19 21:06,"No.11 9th Street, District 07, HCMC"
154890,Power Bank,1,60,15/02/19 20:31,"No.46 9th Street, District 01, HCMC"
154891,27in 4K Gaming Monitor,1,400,07/02/19 20:26,"No.79 25th Street, District 10, HCMC"
154892,Normal Headphones,1,12,01/02/19 12:31,"No.33 10th Street, District 10, HCMC"
154893,Normal Headphones,1,12,08/02/19 14:55,"No.10 22nd Street, District 01, HCMC"
154894,21in Monitor,1,110,16/02/19 12:05,"No.32 24th Street, District 10, HCMC"
154895,USB-C Charging Cable,1,12,20/02/19 21:19,"No.45 6th Street, District 06, HCMC"
154896,34in 2k Monitor,1,380,13/02/19 19:57,"No.13 17th Street, District 05, HCMC"
154897,Normal Headphones,1,12,23/02/19 15:27,"No.30 24th Street, District 01, HCMC"
154898,Lightning Charging Cable,1,15,15/02/19 19:24,"No.11 24th Street, District 03, HCMC"
154899,Lightning Charging Cable,1,15,26/02/19 21:08,"No.100 8th Street, District 01, HCMC"
154900,Samsung Phone,1,500,16/02/19 10:26,"No.6 17th Street, District 04, HCMC"
154901,Normal Headphones,1,12,02/02/19 19:04,"No.22 7th Street, District 01, HCMC"
154902,Normal Headphones,1,12,10/02/19 21:13,"No.17 7th Street, District 04, HCMC"
154903,USB-C Charging Cable,1,12,24/02/19 21:27,"No.18 9th Street, District 04, HCMC"
154904,Normal Headphones,1,12,22/02/19 10:31,"No.19 21st Street, District 07, HCMC"
154905,Power Bank,1,60,28/02/19 19:19,"No.86 22nd Street, District 07, HCMC"
154906,Normal Headphones,1,12,04/02/19 16:11,"No.13 22nd Street, District 06, HCMC"
154907,Normal Headphones,1,12,18/02/19 21:01,"No.4  2nd Street, District 03, HCMC"
154908,iPhone,1,700,10/02/19 15:18,"No.24 9th Street, District 07, HCMC"
154909,Lightning Charging Cable,1,15,06/02/19 09:28,"No.48 24th Street, District 07, HCMC"
154910,27in 4K Gaming Monitor,1,400,13/02/19 18:39,"No.13 9th Street, District 01, HCMC"
154911,USB-C Charging Cable,1,12,14/02/19 22:40,"No.40 4th Street, District 01, HCMC"
154912,Lightning Charging Cable,1,15,16/02/19 18:07,"No.48 15th Street, District 01, HCMC"
154913,Normal Headphones,1,12,27/02/19 16:42,"No.13 3rd Street, District 03, HCMC"
154914,Sony Headphones,1,100,26/02/19 18:07,"No.2 1st Street, District 05, HCMC"
154915,Lightning Charging Cable,1,15,05/02/19 22:08,"No.4 8th Street, District 01, HCMC"
154916,Power Bank,1,60,11/02/19 15:40,"No.40 13th Street, District 02, HCMC"
154917,34in 2k Monitor,1,380,22/02/19 23:03,"No.46 3rd Street, District 08, HCMC"
154918,Lightning Charging Cable,1,15,03/02/19 17:58,"No.48 5th Street, District 03, HCMC"
154919,Normal Headphones,2,12,19/02/19 16:09,"No.64 16th Street, District 01, HCMC"
154920,Lightning Charging Cable,1,15,10/02/19 18:29,"No.55 21st Street, District 06, HCMC"
154921,Power Bank,1,60,21/02/19 20:26,"No.73 1st Street, District 03, HCMC"
154922,Normal Headphones,1,12,17/02/19 01:13,"No.91 17th Street, District 05, HCMC"
154923,Normal Headphones,1,12,24/02/19 23:35,"No.80 7th Street, District 02, HCMC"
154924,Sony Headphones,1,100,13/02/19 05:52,"No.5 9th Street, District 05, HCMC"
154925,Normal Headphones,1,12,10/02/19 12:50,"No.14 19th Street, District 02, HCMC"
154926,Sony Headphones,1,100,06/02/19 09:06,"No.38 12th Street, District 03, HCMC"
154927,Power Bank,1,60,20/02/19 09:53,"No.58 6th Street, District 07, HCMC"
154928,Sony Headphones,1,100,07/02/19 19:44,"No.2 14th Street, District 01, HCMC"
154929,34in 2k Monitor,1,380,17/02/19 09:31,"No.30 24th Street, District 05, HCMC"
154930,Power Bank,1,60,03/02/19 11:28,"No.32 7th Street, District 07, HCMC"
154931,Airpods Headphones,1,150,01/02/19 16:03,"No.8 16th Street, District 10, HCMC"
154932,Power Bank,1,60,11/02/19 18:46,"No.97 13th Street, District 11, HCMC"
154933,Power Bank,1,60,01/02/19 18:44,"No.91 25th Street, District 01, HCMC"
154934,Lightning Charging Cable,1,15,05/02/19 10:40,"No.59 22nd Street, District 11, HCMC"
154935,USB-C Charging Cable,1,12,20/02/19 00:01,"No.27 20th Street, District 04, HCMC"
154936,USB-C Charging Cable,1,12,19/02/19 21:05,"No.28 9th Street, District 05, HCMC"
