Order ID,Product,Quantity,Price,Order Date,Purchase Address
227501,Lightning Charging Cable,1,15,12/07/19 08:27,"No.95 13th Street, District 03, HCMC"
227502,USB-C Charging Cable,1,12,06/07/19 14:53,"No.30 23rd Street, District 03, HCMC"
227503,Normal Headphones,1,12,29/07/19 08:45,"No.100 4th Street, District 08, HCMC"
227504,Normal Headphones,1,12,18/07/19 16:29,"No.54 23rd Street, District 01, HCMC"
227505,Lightning Charging Cable,1,15,10/07/19 15:27,"No.95 3rd Street, District 04, HCMC"
227506,USB-C Charging Cable,1,12,12/07/19 09:26,"No.19 15th Street, District 08, HCMC"
227507,Lightning Charging Cable,1,15,28/07/19 12:26,"No.34 13th Street, District 01, HCMC"
227508,34in 2k Monitor,1,380,15/07/19 15:32,"No.49 24th Street, District 05, HCMC"
227509,Lightning Charging Cable,1,15,01/07/19 09:36,"No.66 22nd Street, District 11, HCMC"
227510,Lightning Charging Cable,1,15,21/07/19 16:27,"No.77 23rd Street, District 04, HCMC"
227511,Normal Headphones,1,12,20/07/19 13:52,"No.75 21st Street, District 01, HCMC"
227512,USB-C Charging Cable,1,12,19/07/19 17:40,"No.36 19th Street, District 02, HCMC"
227513,ThinkPad Laptop,1,1000,24/07/19 11:23,"No.70 6th Street, District 03, HCMC"
227514,Normal Headphones,1,12,28/07/19 10:31,"No.74 21st Street, District 04, HCMC"
227515,Power Bank,1,60,09/07/19 22:53,"No.22 9th Street, District 01, HCMC"
227516,Power Bank,1,60,08/07/19 22:28,"No.15 6th Street, District 03, HCMC"
227517,Normal Headphones,1,12,26/07/19 21:13,"No.34 15th Street, District 02, HCMC"
227518,iPhone,1,700,29/07/19 23:16,"No.77 18th Street, District 07, HCMC"
227519,Dell Laptop,1,800,11/07/19 22:06,"No.99 24th Street, District 01, HCMC"
227520,Lightning Charging Cable,1,15,30/07/19 14:46,"No.92 1st Street, District 07, HCMC"
227521,USB-C Charging Cable,1,12,29/07/19 17:04,"No.5 11th Street, District 02, HCMC"
227522,Normal Headphones,1,12,02/07/19 09:23,"No.75 1st Street, District 03, HCMC"
227523,27in 4K Gaming Monitor,1,400,09/07/19 12:20,"No.100 11th Street, District 01, HCMC"
227524,USB-C Charging Cable,1,12,09/07/19 02:29,"No.44 9th Street, District 10, HCMC"
227525,Sony Headphones,1,100,13/07/19 14:20,"No.57 3rd Street, District 05, HCMC"
227526,27in 4K Gaming Monitor,1,400,07/07/19 00:29,"No.9 18th Street, District 10, HCMC"
227527,Sony Headphones,1,100,27/07/19 20:36,"No.32 24th Street, District 01, HCMC"
227528,21in Monitor,1,110,15/07/19 15:51,"No.85  2nd Street, District 10, HCMC"
227529,Normal Headphones,1,12,17/07/19 13:22,"No.26 12th Street, District 07, HCMC"
227530,Normal Headphones,1,12,17/07/19 08:20,"No.66 7th Street, District 03, HCMC"
227531,Power Bank,1,60,14/07/19 15:31,"No.39 9th Street, District 05, HCMC"
227532,Lightning Charging Cable,1,15,24/07/19 20:56,"No.40 10th Street, District 02, HCMC"
227533,USB-C Charging Cable,1,12,13/07/19 08:08,"No.8 24th Street, District 02, HCMC"
227534,iPhone,1,700,09/07/19 13:31,"No.91 6th Street, District 02, HCMC"
227535,27in 4K Gaming Monitor,1,400,18/07/19 20:04,"No.7 22nd Street, District 08, HCMC"
227536,USB-C Charging Cable,1,12,25/07/19 18:00,"No.84 24th Street, District 06, HCMC"
227537,34in 2k Monitor,1,380,21/07/19 17:21,"No.70 6th Street, District 05, HCMC"
227538,Lightning Charging Cable,1,15,29/07/19 13:02,"No.71 11th Street, District 10, HCMC"
227539,USB-C Charging Cable,1,12,03/07/19 14:34,"No.53 17th Street, District 02, HCMC"
227540,Power Bank,1,60,06/07/19 20:50,"No.68  2nd Street, District 10, HCMC"
227541,Normal Headphones,1,12,03/07/19 12:49,"No.6 9th Street, District 07, HCMC"
227542,USB-C Charging Cable,1,12,24/07/19 03:37,"No.94  2nd Street, District 04, HCMC"
227543,Power Bank,1,60,14/07/19 08:18,"No.67 10th Street, District 03, HCMC"
227544,USB-C Charging Cable,1,12,29/07/19 06:39,"No.65 7th Street, District 10, HCMC"
227545,Power Bank,1,60,29/07/19 16:06,"No.60 3rd Street, District 02, HCMC"
227546,iPhone,1,700,04/07/19 15:19,"No.46 10th Street, District 01, HCMC"
227547,Normal Headphones,1,12,10/07/19 08:12,"No.82 17th Street, District 01, HCMC"
227548,Power Bank,1,60,26/07/19 06:51,"No.59 9th Street, District 03, HCMC"
227549,27in 4K Gaming Monitor,1,400,05/07/19 08:01,"No.86 13th Street, District 10, HCMC"
227550,27in 4K Gaming Monitor,1,400,18/07/19 10:56,"No.84 19th Street, District 07, HCMC"
227551,ThinkPad Laptop,1,1000,08/07/19 12:22,"No.72 12th Street, District 04, HCMC"
227552,Lightning Charging Cable,1,15,22/07/19 13:19,"No.23 10th Street, District 07, HCMC"
227553,Airpods Headphones,1,150,05/07/19 21:40,"No.36 24th Street, District 02, HCMC"
227554,Lightning Charging Cable,1,15,27/07/19 11:39,"No.4 19th Street, District 03, HCMC"
227555,Normal Headphones,1,12,05/07/19 15:13,"No.52 1st Street, District 05, HCMC"
227556,Lightning Charging Cable,1,15,28/07/19 20:50,"No.93 9th Street, District 07, HCMC"
227557,27in 4K Gaming Monitor,1,400,09/07/19 13:38,"No.88 14th Street, District 07, HCMC"
227558,Samsung Phone,1,500,20/07/19 16:01,"No.37 5th Street, District 10, HCMC"
227558,Sony Headphones,1,100,20/07/19 16:01,"No.37 5th Street, District 10, HCMC"
227559,27in 4K Gaming Monitor,1,400,22/07/19 21:51,"No.29 22nd Street, District 08, HCMC"
227560,Airpods Headphones,1,150,02/07/19 14:22,"No.57 8th Street, District 07, HCMC"
227561,Lightning Charging Cable,1,15,06/07/19 18:47,"No.93 13th Street, District 03, HCMC"
227562,USB-C Charging Cable,1,12,10/07/19 17:13,"No.23 3rd Street, District 01, HCMC"
227563,Power Bank,1,60,20/07/19 22:00,"No.3 12th Street, District 04, HCMC"
227564,Power Bank,1,60,27/07/19 22:47,"No.9 20th Street, District 01, HCMC"
227564,Normal Headphones,1,12,27/07/19 22:47,"No.9 20th Street, District 01, HCMC"
227565,Macbook Pro Laptop,1,1700,03/07/19 22:06,"No.22 14th Street, District 07, HCMC"
227566,Power Bank,1,60,27/07/19 12:00,"No.36 4th Street, District 01, HCMC"
227567,USB-C Charging Cable,1,12,11/07/19 19:02,"No.4 18th Street, District 03, HCMC"
227568,USB-C Charging Cable,1,12,23/07/19 20:21,"No.91  2nd Street, District 02, HCMC"
227569,27in 4K Gaming Monitor,1,400,21/07/19 07:45,"No.51 1st Street, District 04, HCMC"
227570,Normal Headphones,1,12,11/07/19 16:59,"No.9 13th Street, District 05, HCMC"
227571,Sony Headphones,1,100,28/07/19 14:20,"No.85 23rd Street, District 01, HCMC"
227572,USB-C Charging Cable,1,12,09/07/19 10:15,"No.43 9th Street, District 05, HCMC"
227573,Sony Headphones,1,100,22/07/19 11:33,"No.32 12th Street, District 01, HCMC"
227574,21in Monitor,1,110,29/07/19 11:57,"No.40 23rd Street, District 07, HCMC"
227575,Power Bank,1,60,04/07/19 08:55,"No.8 5th Street, District 07, HCMC"
227576,27in 4K Gaming Monitor,1,400,16/07/19 01:18,"No.58 18th Street, District 01, HCMC"
227577,Sony Headphones,1,100,04/07/19 15:13,"No.62 16th Street, District 01, HCMC"
227578,Samsung Phone,1,500,30/07/19 18:38,"No.48 10th Street, District 01, HCMC"
227578,Power Bank,1,60,30/07/19 18:38,"No.48 10th Street, District 01, HCMC"
227578,Power Bank,1,60,30/07/19 18:38,"No.48 10th Street, District 01, HCMC"
227579,Samsung Phone,1,500,22/07/19 13:44,"No.18 11th Street, District 05, HCMC"
227580,Airpods Headphones,1,150,31/07/19 09:54,"No.56 25th Street, District 06, HCMC"
227581,27in Monitor,1,150,30/07/19 12:24,"No.59 12th Street, District 03, HCMC"
227582,Power Bank,1,60,24/07/19 08:00,"No.81 19th Street, District 01, HCMC"
227583,USB-C Charging Cable,1,12,29/07/19 15:21,"No.20 12th Street, District 11, HCMC"
227584,27in 4K Gaming Monitor,1,400,22/07/19 15:39,"No.42 6th Street, District 03, HCMC"
227585,21in Monitor,1,110,21/07/19 04:22,"No.79 8th Street, District 07, HCMC"
227586,Lightning Charging Cable,1,15,09/07/19 10:35,"No.66 3rd Street, District 10, HCMC"
227587,Power Bank,1,60,12/07/19 11:40,"No.19 1st Street, District 10, HCMC"
227588,Sony Headphones,1,100,10/07/19 11:24,"No.31 22nd Street, District 07, HCMC"
227589,Power Bank,1,60,05/07/19 08:08,"No.89 11th Street, District 01, HCMC"
227590,Power Bank,1,60,18/07/19 20:34,"No.23 16th Street, District 04, HCMC"
227591,Power Bank,1,60,27/07/19 21:53,"No.50 4th Street, District 03, HCMC"
227592,Macbook Pro Laptop,1,1700,06/07/19 19:24,"No.38 16th Street, District 02, HCMC"
227593,Airpods Headphones,1,150,26/07/19 19:22,"No.88 21st Street, District 01, HCMC"
227594,Power Bank,1,60,10/07/19 12:07,"No.19 25th Street, District 02, HCMC"
227595,Power Bank,1,60,14/07/19 07:02,"No.56 16th Street, District 02, HCMC"
227596,Sony Headphones,1,100,23/07/19 20:09,"No.6 8th Street, District 03, HCMC"
227597,Sony Headphones,1,100,10/07/19 11:46,"No.95 25th Street, District 07, HCMC"
227598,iPhone,1,700,28/07/19 08:00,"No.18 10th Street, District 02, HCMC"
227599,Samsung Phone,1,500,10/07/19 19:11,"No.30 16th Street, District 07, HCMC"
227600,Power Bank,1,60,10/07/19 09:13,"No.54 11th Street, District 01, HCMC"
227601,ThinkPad Laptop,1,1000,04/07/19 12:43,"No.84 24th Street, District 02, HCMC"
227602,Sony Headphones,1,100,23/07/19 20:05,"No.23 8th Street, District 07, HCMC"
227603,Power Bank,1,60,03/07/19 21:23,"No.27 24th Street, District 10, HCMC"
227604,Samsung Phone,1,500,09/07/19 17:51,"No.96 3rd Street, District 07, HCMC"
227604,USB-C Charging Cable,1,12,09/07/19 17:51,"No.96 3rd Street, District 07, HCMC"
227605,Airpods Headphones,1,150,01/07/19 08:26,"No.34 8th Street, District 10, HCMC"
227606,Macbook Pro Laptop,1,1700,21/07/19 10:10,"No.89 10th Street, District 10, HCMC"
227607,Normal Headphones,1,12,19/07/19 12:46,"No.51 7th Street, District 07, HCMC"
227608,Lightning Charging Cable,1,15,30/07/19 22:37,"No.28 21st Street, District 10, HCMC"
227609,34in 2k Monitor,1,380,14/07/19 00:42,"No.26 12th Street, District 05, HCMC"
227610,ThinkPad Laptop,1,1000,18/07/19 21:40,"No.20 5th Street, District 03, HCMC"
227611,27in Monitor,1,150,13/07/19 09:45,"No.69 17th Street, District 04, HCMC"
227612,27in Monitor,1,150,31/07/19 18:46,"No.3 5th Street, District 05, HCMC"
227613,27in 4K Gaming Monitor,1,400,11/07/19 14:59,"No.90 25th Street, District 05, HCMC"
227614,Normal Headphones,1,12,24/07/19 10:40,"No.10 18th Street, District 01, HCMC"
227615,Sony Headphones,1,100,04/07/19 03:46,"No.42 20th Street, District 05, HCMC"
227616,USB-C Charging Cable,1,12,09/07/19 00:16,"No.41 11th Street, District 02, HCMC"
227617,Normal Headphones,1,12,28/07/19 13:44,"No.12 20th Street, District 05, HCMC"
227618,USB-C Charging Cable,1,12,07/07/19 20:10,"No.26 7th Street, District 02, HCMC"
