Order ID,Product,Quantity,Price,Order Date,Purchase Address
217627,iPhone,1,700,21/06/19 12:57,"No.19 12th Street, District 02, HCMC"
Null,Null,Null,Null,Null,Null
217628,Airpods Headphones,1,150,21/06/19 11:58,"No.38 25th Street, District 01, HCMC"
217629,Lightning Charging Cable,1,15,24/06/19 16:57,"No.43 4th Street, District 11, HCMC"
217630,Power Bank,1,60,24/06/19 20:24,"No.24 1st Street, District 05, HCMC"
217631,Samsung Phone,1,500,04/06/19 19:47,"No.69 5th Street, District 01, HCMC"
217631,USB-C Charging Cable,1,12,04/06/19 19:47,"No.69 5th Street, District 01, HCMC"
217632,Airpods Headphones,1,150,10/06/19 08:19,"No.26 23rd Street, District 01, HCMC"
217633,USB-C Charging Cable,1,12,23/06/19 11:25,"No.32 16th Street, District 05, HCMC"
217634,27in 4K Gaming Monitor,1,400,10/06/19 22:33,"No.7 13th Street, District 01, HCMC"
217635,USB-C Charging Cable,1,12,12/06/19 20:03,"No.33 19th Street, District 11, HCMC"
217636,Normal Headphones,2,12,15/06/19 12:20,"No.44 23rd Street, District 01, HCMC"
217637,Dell Laptop,1,800,14/06/19 13:49,"No.80 24th Street, District 10, HCMC"
217638,Normal Headphones,1,12,24/06/19 23:37,"No.97 12th Street, District 01, HCMC"
217639,Normal Headphones,1,12,01/06/19 12:04,"No.46 3rd Street, District 01, HCMC"
217640,Normal Headphones,1,12,15/06/19 15:40,"No.100 18th Street, District 01, HCMC"
217641,27in Monitor,1,150,04/06/19 20:45,"No.29 13th Street, District 07, HCMC"
217642,iPhone,1,700,22/06/19 09:43,"No.44 13th Street, District 03, HCMC"
217643,iPhone,1,700,14/06/19 00:35,"No.22 8th Street, District 05, HCMC"
217644,ThinkPad Laptop,1,1000,23/06/19 13:25,"No.39 4th Street, District 01, HCMC"
217645,Sony Headphones,1,100,12/06/19 09:03,"No.12 20th Street, District 05, HCMC"
217646,Airpods Headphones,1,150,24/06/19 20:47,"No.79 14th Street, District 05, HCMC"
217647,Power Bank,1,60,30/06/19 15:20,"No.66 14th Street, District 05, HCMC"
217648,Lightning Charging Cable,1,15,14/06/19 17:35,"No.95 21st Street, District 02, HCMC"
217649,Airpods Headphones,1,150,05/06/19 13:45,"No.73 13th Street, District 01, HCMC"
217650,Power Bank,2,60,19/06/19 18:37,"No.10 18th Street, District 01, HCMC"
217651,Normal Headphones,1,12,09/06/19 12:55,"No.29 6th Street, District 04, HCMC"
217652,USB-C Charging Cable,1,12,19/06/19 18:01,"No.61 18th Street, District 05, HCMC"
217653,27in 4K Gaming Monitor,1,400,18/06/19 16:10,"No.12 5th Street, District 10, HCMC"
217654,27in Monitor,1,150,14/06/19 21:57,"No.66 17th Street, District 07, HCMC"
217655,USB-C Charging Cable,1,12,27/06/19 21:29,"No.66 17th Street, District 04, HCMC"
217656,27in Monitor,1,150,06/06/19 21:00,"No.47 5th Street, District 01, HCMC"
217657,Power Bank,1,60,21/06/19 00:58,"No.43 11th Street, District 01, HCMC"
217658,Power Bank,1,60,14/06/19 01:52,"No.84 15th Street, District 10, HCMC"
217659,Macbook Pro Laptop,1,1700,24/06/19 21:04,"No.26 12th Street, District 06, HCMC"
217660,Normal Headphones,1,12,24/06/19 18:07,"No.25 4th Street, District 06, HCMC"
