Order ID,Product,Quantity,Price,Order Date,Purchase Address
174686,Normal Headphones,1,12,31/03/19 00:08,"No.15 24th Street, District 01, HCMC"
174687,Airpods Headphones,1,150,09/03/19 18:02,"No.97 6th Street, District 03, HCMC"
174688,Normal Headphones,1,12,16/03/19 20:55,"No.80  2nd Street, District 02, HCMC"
174689,Lightning Charging Cable,1,15,18/03/19 10:18,"No.65 16th Street, District 07, HCMC"
174690,Lightning Charging Cable,1,15,20/03/19 18:31,"No.18 25th Street, District 01, HCMC"
174691,Power Bank,1,60,05/03/19 12:34,"No.12 21st Street, District 02, HCMC"
174692,USB-C Charging Cable,1,12,25/03/19 16:44,"No.15 20th Street, District 01, HCMC"
174693,Normal Headphones,1,12,30/03/19 00:31,"No.9 8th Street, District 11, HCMC"
174694,Power Bank,1,60,03/03/19 14:39,"No.65 21st Street, District 03, HCMC"
174695,Lightning Charging Cable,1,15,29/03/19 10:23,"No.6 21st Street, District 11, HCMC"
174696,34in 2k Monitor,1,380,27/03/19 15:37,"No.1 10th Street, District 03, HCMC"
174697,ThinkPad Laptop,1,1000,23/03/19 18:49,"No.70 18th Street, District 05, HCMC"
174698,USB-C Charging Cable,1,12,23/03/19 06:11,"No.66 22nd Street, District 05, HCMC"
174699,Power Bank,1,60,17/03/19 07:50,"No.66 23rd Street, District 10, HCMC"
174700,USB-C Charging Cable,1,12,01/03/19 09:49,"No.55 15th Street, District 07, HCMC"
174701,USB-C Charging Cable,1,12,07/03/19 20:35,"No.15 6th Street, District 05, HCMC"
174702,Lightning Charging Cable,1,15,05/03/19 20:24,"No.63 10th Street, District 07, HCMC"
174703,iPhone,1,700,30/03/19 09:18,"No.64 7th Street, District 01, HCMC"
174704,Lightning Charging Cable,1,15,22/03/19 20:24,"No.61 13th Street, District 03, HCMC"
174705,USB-C Charging Cable,1,12,25/03/19 23:59,"No.54 18th Street, District 08, HCMC"
174706,Power Bank,1,60,26/03/19 20:23,"No.88 11th Street, District 10, HCMC"
174707,21in Monitor,1,110,02/03/19 06:31,"No.16 19th Street, District 01, HCMC"
174708,Airpods Headphones,1,150,27/03/19 13:12,"No.79 13th Street, District 01, HCMC"
174709,34in 2k Monitor,1,380,10/03/19 23:38,"No.81 12th Street, District 05, HCMC"
174710,Normal Headphones,1,12,19/03/19 23:31,"No.92 10th Street, District 05, HCMC"
174711,Power Bank,1,60,09/03/19 21:33,"No.43 16th Street, District 01, HCMC"
174712,USB-C Charging Cable,2,12,31/03/19 16:09,"No.55 12th Street, District 10, HCMC"
174713,Normal Headphones,1,12,24/03/19 22:09,"No.18 3rd Street, District 03, HCMC"
174714,USB-C Charging Cable,1,12,11/03/19 11:49,"No.62 10th Street, District 01, HCMC"
174715,34in 2k Monitor,1,380,10/03/19 13:31,"No.24 25th Street, District 01, HCMC"
174716,Sony Headphones,1,100,25/03/19 13:54,"No.86 20th Street, District 04, HCMC"
174717,34in 2k Monitor,1,380,28/03/19 18:01,"No.63 24th Street, District 08, HCMC"
174718,Sony Headphones,1,100,17/03/19 19:07,"No.79 6th Street, District 01, HCMC"
174719,Power Bank,1,60,04/03/19 10:26,"No.48 10th Street, District 07, HCMC"
174720,Macbook Pro Laptop,1,1700,18/03/19 17:35,"No.80 8th Street, District 04, HCMC"
174721,Dell Laptop,1,800,22/03/19 14:51,"No.20 8th Street, District 02, HCMC"
174722,Sony Headphones,1,100,02/03/19 17:41,"No.83 24th Street, District 01, HCMC"
174723,Normal Headphones,1,12,01/03/19 22:45,"No.97 13th Street, District 04, HCMC"
174724,Lightning Charging Cable,1,15,31/03/19 13:48,"No.11  2nd Street, District 07, HCMC"
174725,Power Bank,1,60,06/03/19 12:53,"No.51 3rd Street, District 06, HCMC"
174726,iPhone,1,700,07/03/19 13:54,"No.56 18th Street, District 04, HCMC"
174727,Lightning Charging Cable,1,15,07/03/19 16:07,"No.63 21st Street, District 03, HCMC"
174728,USB-C Charging Cable,2,12,07/03/19 11:59,"No.63 23rd Street, District 01, HCMC"
174729,Normal Headphones,2,12,17/03/19 10:23,"No.67 24th Street, District 07, HCMC"
174730,Lightning Charging Cable,1,15,20/03/19 14:10,"No.63 3rd Street, District 07, HCMC"
174731,21in Monitor,1,110,31/03/19 13:02,"No.92 24th Street, District 02, HCMC"
174732,Normal Headphones,1,12,21/03/19 12:30,"No.32 9th Street, District 07, HCMC"
,,,,,
174733,Lightning Charging Cable,1,15,27/03/19 17:51,"No.45 4th Street, District 01, HCMC"
174734,Normal Headphones,1,12,03/03/19 08:57,"No.46  2nd Street, District 03, HCMC"
174735,Samsung Phone,1,500,11/03/19 17:35,"No.14 19th Street, District 06, HCMC"
174736,Power Bank,1,60,28/03/19 11:10,"No.1 16th Street, District 05, HCMC"
174737,Sony Headphones,1,100,28/03/19 17:09,"No.98 19th Street, District 01, HCMC"
174738,27in 4K Gaming Monitor,1,400,11/03/19 18:01,"No.44 14th Street, District 07, HCMC"
174739,Lightning Charging Cable,1,15,25/03/19 11:54,"No.7 15th Street, District 01, HCMC"
174740,iPhone,1,700,03/03/19 15:26,"No.47 3rd Street, District 05, HCMC"
174740,Lightning Charging Cable,1,15,03/03/19 15:26,"No.47 3rd Street, District 05, HCMC"
174741,USB-C Charging Cable,1,12,24/03/19 18:10,"No.1 21st Street, District 03, HCMC"
174742,Power Bank,1,60,15/03/19 19:51,"No.56 19th Street, District 05, HCMC"
174743,Airpods Headphones,1,150,28/03/19 18:47,"No.77 23rd Street, District 05, HCMC"
174744,Airpods Headphones,1,150,10/03/19 07:14,"No.7 23rd Street, District 01, HCMC"
174745,Normal Headphones,2,12,26/03/19 09:35,"No.46 18th Street, District 01, HCMC"
174746,Power Bank,1,60,01/03/19 14:00,"No.58  2nd Street, District 01, HCMC"
174747,Samsung Phone,1,500,01/03/19 18:36,"No.28 6th Street, District 05, HCMC"
174748,Normal Headphones,1,12,18/03/19 12:34,"No.84 11th Street, District 07, HCMC"
174749,Lightning Charging Cable,1,15,17/03/19 21:34,"No.57 14th Street, District 04, HCMC"
174750,Sony Headphones,1,100,01/03/19 13:32,"No.16 12th Street, District 03, HCMC"
174751,27in 4K Gaming Monitor,1,400,09/03/19 15:52,"No.48 23rd Street, District 07, HCMC"
174752,Normal Headphones,1,12,25/03/19 20:02,"No.63 25th Street, District 06, HCMC"
174753,Sony Headphones,1,100,22/03/19 08:11,"No.78 15th Street, District 10, HCMC"
174754,Dell Laptop,1,800,08/03/19 23:45,"No.64 7th Street, District 02, HCMC"
