Order ID,Product,Quantity,Price,Order Date,Purchase Address
204046,Lightning Charging Cable,1,15,25/05/19 20:45,"No.18 7th Street, District 10, HCMC"
204047,Sony Headphones,1,100,05/05/19 22:55,"No.64 4th Street, District 04, HCMC"
204048,USB-C Charging Cable,1,12,06/05/19 15:34,"No.93 25th Street, District 01, HCMC"
204049,Sony Headphones,1,100,14/05/19 09:05,"No.36 19th Street, District 10, HCMC"
204050,34in 2k Monitor,1,380,18/05/19 15:26,"No.39 20th Street, District 05, HCMC"
204051,Airpods Headphones,1,150,10/05/19 13:21,"No.9 1st Street, District 06, HCMC"
204052,27in Monitor,1,150,21/05/19 09:37,"No.32 19th Street, District 03, HCMC"
204053,34in 2k Monitor,1,380,11/05/19 20:57,"No.55 16th Street, District 04, HCMC"
204054,Sony Headphones,1,100,06/05/19 18:37,"No.28 1st Street, District 01, HCMC"
204055,Power Bank,1,60,05/05/19 17:11,"No.93 23rd Street, District 01, HCMC"
204056,34in 2k Monitor,1,380,08/05/19 21:40,"No.92 12th Street, District 07, HCMC"
204057,USB-C Charging Cable,2,12,19/05/19 11:02,"No.16 22nd Street, District 04, HCMC"
204058,27in 4K Gaming Monitor,1,400,31/05/19 13:46,"No.17 20th Street, District 11, HCMC"
204059,Samsung Phone,1,500,10/05/19 21:51,"No.25 19th Street, District 01, HCMC"
204060,Lightning Charging Cable,1,15,20/05/19 13:30,"No.26 8th Street, District 01, HCMC"
204061,Normal Headphones,1,12,24/05/19 15:12,"No.33 12th Street, District 03, HCMC"
204062,USB-C Charging Cable,1,12,10/05/19 05:35,"No.82 19th Street, District 02, HCMC"
204063,Lightning Charging Cable,1,15,17/05/19 20:49,"No.87 14th Street, District 11, HCMC"
204064,Macbook Pro Laptop,1,1700,01/05/19 17:52,"No.69 22nd Street, District 01, HCMC"
204065,27in 4K Gaming Monitor,1,400,14/05/19 12:47,"No.26 11th Street, District 05, HCMC"
204066,27in Monitor,1,150,02/05/19 17:16,"No.52 21st Street, District 04, HCMC"
204067,Power Bank,1,60,23/05/19 20:55,"No.41 25th Street, District 10, HCMC"
204068,Normal Headphones,1,12,31/05/19 18:46,"No.79 16th Street, District 02, HCMC"
204069,Macbook Pro Laptop,1,1700,06/05/19 01:05,"No.22 3rd Street, District 05, HCMC"
204070,Normal Headphones,1,12,03/05/19 17:51,"No.93 12th Street, District 10, HCMC"
204071,Lightning Charging Cable,1,15,14/05/19 13:13,"No.86 24th Street, District 02, HCMC"
204072,USB-C Charging Cable,2,12,06/05/19 17:10,"No.5 17th Street, District 04, HCMC"
204073,27in 4K Gaming Monitor,1,400,07/05/19 09:38,"No.5 24th Street, District 05, HCMC"
204074,USB-C Charging Cable,1,12,10/05/19 11:16,"No.90 12th Street, District 01, HCMC"
204075,Normal Headphones,1,12,03/05/19 17:53,"No.34 20th Street, District 01, HCMC"
204076,Power Bank,1,60,10/05/19 21:09,"No.28 4th Street, District 05, HCMC"
204077,Macbook Pro Laptop,1,1700,05/05/19 16:43,"No.29 18th Street, District 03, HCMC"
204078,27in 4K Gaming Monitor,1,400,08/05/19 23:52,"No.59 15th Street, District 04, HCMC"
204079,Lightning Charging Cable,1,15,18/05/19 09:17,"No.94 15th Street, District 01, HCMC"
204080,Airpods Headphones,1,150,13/05/19 07:14,"No.52 8th Street, District 04, HCMC"
204081,USB-C Charging Cable,1,12,24/05/19 13:28,"No.74 5th Street, District 03, HCMC"
204082,Power Bank,1,60,18/05/19 11:31,"No.93 11th Street, District 10, HCMC"
204083,iPhone,1,700,28/05/19 09:45,"No.54 16th Street, District 03, HCMC"
204084,Lightning Charging Cable,1,15,14/05/19 09:35,"No.37 25th Street, District 01, HCMC"
204085,ThinkPad Laptop,1,1000,22/05/19 15:51,"No.92 15th Street, District 06, HCMC"
204086,27in Monitor,1,150,17/05/19 22:48,"No.48 18th Street, District 01, HCMC"
204087,Airpods Headphones,1,150,22/05/19 23:59,"No.30 6th Street, District 07, HCMC"
204088,Airpods Headphones,1,150,06/05/19 11:42,"No.79 12th Street, District 10, HCMC"
