Order ID,Product,Quantity,Price,Order Date,Purchase Address
289756,Lightning Charging Cable,1,15,11/11/19 20:01,"No.82 9th Street, District 04, HCMC"
289757,Lightning Charging Cable,1,15,07/11/19 05:39,"No.54 24th Street, District 05, HCMC"
289758,USB-C Charging Cable,1,12,11/11/19 14:23,"No.27 6th Street, District 11, HCMC"
289759,Lightning Charging Cable,1,15,28/11/19 20:03,"No.92 24th Street, District 02, HCMC"
289760,Normal Headphones,1,12,01/11/19 17:03,"No.91 22nd Street, District 01, HCMC"
289761,Power Bank,1,60,30/11/19 13:10,"No.57 11th Street, District 05, HCMC"
289762,Sony Headphones,1,100,11/11/19 22:29,"No.11 20th Street, District 07, HCMC"
289763,Sony Headphones,1,100,13/11/19 18:24,"No.76 25th Street, District 02, HCMC"
289764,Samsung Phone,1,500,13/11/19 13:34,"No.76 4th Street, District 05, HCMC"
289765,USB-C Charging Cable,1,12,24/11/19 10:07,"No.70 24th Street, District 01, HCMC"
289766,Lightning Charging Cable,1,15,16/11/19 19:16,"No.59 18th Street, District 02, HCMC"
289767,Normal Headphones,1,12,14/11/19 20:23,"No.56 20th Street, District 04, HCMC"
289768,Power Bank,1,60,05/11/19 13:10,"No.63 15th Street, District 01, HCMC"
289769,34in 2k Monitor,1,380,10/11/19 19:29,"No.52 20th Street, District 04, HCMC"
289770,Normal Headphones,1,12,15/11/19 20:46,"No.30 10th Street, District 06, HCMC"
289771,Macbook Pro Laptop,1,1700,07/11/19 22:56,"No.83 1st Street, District 07, HCMC"
289772,Normal Headphones,1,12,16/11/19 12:29,"No.38  2nd Street, District 04, HCMC"
289773,USB-C Charging Cable,1,12,08/11/19 00:02,"No.41 22nd Street, District 03, HCMC"
289774,iPhone,1,700,11/11/19 11:20,"No.24 3rd Street, District 10, HCMC"
289775,Power Bank,1,60,20/11/19 19:32,"No.90 22nd Street, District 07, HCMC"
289776,Macbook Pro Laptop,1,1700,13/11/19 16:22,"No.60 21st Street, District 02, HCMC"
289777,Sony Headphones,1,100,20/11/19 19:36,"No.57 22nd Street, District 01, HCMC"
289778,27in 4K Gaming Monitor,1,400,24/11/19 17:06,"No.39 23rd Street, District 01, HCMC"
289779,Power Bank,1,60,19/11/19 05:36,"No.37  2nd Street, District 04, HCMC"
289780,Sony Headphones,1,100,27/11/19 12:07,"No.13 9th Street, District 01, HCMC"
289781,Airpods Headphones,1,150,01/11/19 22:36,"No.86 16th Street, District 01, HCMC"
289782,Lightning Charging Cable,1,15,14/11/19 10:54,"No.48 23rd Street, District 07, HCMC"
289783,USB-C Charging Cable,2,12,07/11/19 21:47,"No.68 23rd Street, District 02, HCMC"
289784,Macbook Pro Laptop,1,1700,27/11/19 11:32,"No.17 12th Street, District 07, HCMC"
289785,iPhone,1,700,10/11/19 16:59,"No.34 22nd Street, District 05, HCMC"
289786,Airpods Headphones,1,150,04/11/19 09:10,"No.100 1st Street, District 05, HCMC"
289787,Lightning Charging Cable,1,15,30/11/19 13:25,"No.60 25th Street, District 01, HCMC"
289788,ThinkPad Laptop,1,1000,07/11/19 19:10,"No.41 24th Street, District 03, HCMC"
289789,Sony Headphones,1,100,25/11/19 08:08,"No.36 8th Street, District 01, HCMC"
