Order ID,Product,Quantity,Price,Order Date,Purchase Address
273583,Samsung Phone,1,500,04/10/19 20:18,"No.66 22nd Street, District 07, HCMC"
273583,USB-C Charging Cable,1,12,04/10/19 20:18,"No.66 22nd Street, District 07, HCMC"
273584,Samsung Phone,1,500,25/10/19 10:27,"No.85 13th Street, District 07, HCMC"
273585,Lightning Charging Cable,1,15,15/10/19 10:54,"No.43 4th Street, District 03, HCMC"
273586,Power Bank,1,60,15/10/19 16:24,"No.71 25th Street, District 05, HCMC"
273587,Power Bank,1,60,25/10/19 14:29,"No.94 23rd Street, District 02, HCMC"
273588,Lightning Charging Cable,1,15,04/10/19 20:05,"No.83 10th Street, District 04, HCMC"
273589,Macbook Pro Laptop,1,1700,26/10/19 18:44,"No.63 15th Street, District 05, HCMC"
273590,Lightning Charging Cable,1,15,23/10/19 10:42,"No.23 6th Street, District 01, HCMC"
273591,USB-C Charging Cable,2,12,05/10/19 12:16,"No.46 6th Street, District 06, HCMC"
273592,USB-C Charging Cable,1,12,29/10/19 14:20,"No.74 17th Street, District 06, HCMC"
273593,USB-C Charging Cable,1,12,01/10/19 14:56,"No.18 6th Street, District 06, HCMC"
273594,Power Bank,1,60,16/10/19 16:17,"No.3 18th Street, District 03, HCMC"
273595,34in 2k Monitor,1,380,06/10/19 13:10,"No.42 4th Street, District 04, HCMC"
273596,Lightning Charging Cable,1,15,14/10/19 19:13,"No.32 25th Street, District 01, HCMC"
273597,Dell Laptop,1,800,03/10/19 18:46,"No.52 11th Street, District 05, HCMC"
273598,Normal Headphones,1,12,15/10/19 11:20,"No.34 20th Street, District 01, HCMC"
273599,Normal Headphones,1,12,04/10/19 14:59,"No.74 11th Street, District 07, HCMC"
273600,34in 2k Monitor,1,380,23/10/19 18:39,"No.80 11th Street, District 01, HCMC"
273601,Power Bank,1,60,19/10/19 21:36,"No.4 7th Street, District 07, HCMC"
273602,Macbook Pro Laptop,1,1700,25/10/19 01:00,"No.4 3rd Street, District 06, HCMC"
273603,27in 4K Gaming Monitor,1,400,21/10/19 17:06,"No.83 19th Street, District 02, HCMC"
273604,Lightning Charging Cable,1,15,27/10/19 23:43,"No.76 9th Street, District 01, HCMC"
273605,USB-C Charging Cable,1,12,05/10/19 22:02,"No.23 4th Street, District 05, HCMC"
273606,USB-C Charging Cable,1,12,16/10/19 15:07,"No.42 14th Street, District 05, HCMC"
273607,Airpods Headphones,1,150,24/10/19 20:51,"No.81 22nd Street, District 01, HCMC"
273608,Lightning Charging Cable,1,15,22/10/19 11:44,"No.83 19th Street, District 06, HCMC"
273609,Dell Laptop,1,800,26/10/19 21:58,"No.81 16th Street, District 01, HCMC"
273610,USB-C Charging Cable,1,12,17/10/19 09:55,"No.70 22nd Street, District 10, HCMC"
273611,Sony Headphones,1,100,05/10/19 11:24,"No.10 23rd Street, District 01, HCMC"
273612,Normal Headphones,1,12,20/10/19 17:40,"No.54 4th Street, District 07, HCMC"
273613,34in 2k Monitor,1,380,28/10/19 10:49,"No.69 1st Street, District 07, HCMC"
273614,Airpods Headphones,1,150,14/10/19 07:54,"No.56 21st Street, District 07, HCMC"
273614,21in Monitor,1,110,14/10/19 07:54,"No.56 21st Street, District 07, HCMC"
273615,Normal Headphones,1,12,21/10/19 17:28,"No.84 6th Street, District 06, HCMC"
273616,USB-C Charging Cable,1,12,01/10/19 19:43,"No.15 12th Street, District 07, HCMC"
273617,Normal Headphones,2,12,11/10/19 15:15,"No.28 23rd Street, District 05, HCMC"
273618,iPhone,1,700,01/10/19 13:20,"No.58 25th Street, District 10, HCMC"
273618,Lightning Charging Cable,1,15,01/10/19 13:20,"No.58 25th Street, District 10, HCMC"
273619,Normal Headphones,2,12,23/10/19 09:48,"No.75 16th Street, District 06, HCMC"
273620,Airpods Headphones,1,150,26/10/19 18:43,"No.25 19th Street, District 11, HCMC"
273620,Normal Headphones,1,12,26/10/19 18:43,"No.25 19th Street, District 11, HCMC"
273621,iPhone,1,700,28/10/19 20:28,"No.80 15th Street, District 01, HCMC"
273622,Power Bank,1,60,21/10/19 17:49,"No.77 9th Street, District 02, HCMC"
273623,Normal Headphones,1,12,12/10/19 10:03,"No.99 11th Street, District 04, HCMC"
273624,USB-C Charging Cable,1,12,29/10/19 18:54,"No.6 13th Street, District 05, HCMC"
273625,iPhone,1,700,20/10/19 20:26,"No.84 18th Street, District 05, HCMC"
273626,Normal Headphones,1,12,06/10/19 08:10,"No.34 5th Street, District 01, HCMC"
273627,21in Monitor,1,110,02/10/19 09:55,"No.65 3rd Street, District 05, HCMC"
