Order ID,Product,Quantity,Price,Order Date,Purchase Address
260944,Lightning Charging Cable,1,15,22/09/19 22:58,"No.17 23rd Street, District 01, HCMC"
260945,USB-C Charging Cable,1,12,12/09/19 22:23,"No.45 9th Street, District 05, HCMC"
260946,Airpods Headphones,1,150,18/09/19 07:36,"No.7 16th Street, District 01, HCMC"
260947,Normal Headphones,1,12,10/09/19 12:36,"No.77 3rd Street, District 01, HCMC"
260948,21in Monitor,1,110,06/09/19 18:28,"No.8 4th Street, District 02, HCMC"
260949,Sony Headphones,1,100,10/09/19 16:47,"No.72 19th Street, District 03, HCMC"
260950,Power Bank,1,60,22/09/19 14:01,"No.23 23rd Street, District 01, HCMC"
260951,Lightning Charging Cable,1,15,06/09/19 19:47,"No.20 11th Street, District 03, HCMC"
260952,Lightning Charging Cable,1,15,18/09/19 20:14,"No.100 8th Street, District 10, HCMC"
260953,Normal Headphones,1,12,08/09/19 08:51,"No.42 17th Street, District 11, HCMC"
260954,Samsung Phone,1,500,05/09/19 08:08,"No.21 22nd Street, District 03, HCMC"
260954,USB-C Charging Cable,1,12,05/09/19 08:08,"No.21 22nd Street, District 03, HCMC"
260954,Power Bank,1,60,05/09/19 08:08,"No.21 22nd Street, District 03, HCMC"
260955,Macbook Pro Laptop,1,1700,28/09/19 21:14,"No.29 24th Street, District 01, HCMC"
260956,Lightning Charging Cable,1,15,29/09/19 19:07,"No.76 10th Street, District 01, HCMC"
260957,Samsung Phone,1,500,20/09/19 16:26,"No.98 9th Street, District 04, HCMC"
260957,Power Bank,1,60,20/09/19 16:26,"No.98 9th Street, District 04, HCMC"
260958,Normal Headphones,1,12,04/09/19 14:55,"No.65 23rd Street, District 01, HCMC"
260959,Power Bank,1,60,11/09/19 19:41,"No.32 16th Street, District 01, HCMC"
260960,Macbook Pro Laptop,1,1700,11/09/19 19:56,"No.87 25th Street, District 01, HCMC"
260961,USB-C Charging Cable,1,12,28/09/19 16:26,"No.20 11th Street, District 05, HCMC"
260962,34in 2k Monitor,1,380,03/09/19 14:20,"No.96 11th Street, District 01, HCMC"
260963,Lightning Charging Cable,1,15,05/09/19 22:35,"No.45  2nd Street, District 01, HCMC"
260964,Normal Headphones,1,12,01/09/19 14:52,"No.61 25th Street, District 01, HCMC"
260965,Power Bank,1,60,18/09/19 15:59,"No.4 5th Street, District 07, HCMC"
260966,Samsung Phone,1,500,27/09/19 23:10,"No.79 16th Street, District 07, HCMC"
260966,Power Bank,1,60,27/09/19 23:10,"No.79 16th Street, District 07, HCMC"
260967,iPhone,1,700,14/09/19 13:35,"No.53 3rd Street, District 07, HCMC"
